V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3
3,4,4,2,4,4,4,4,4,4,2,4,4,4,4,3,4,3,2,4,4,3,4,4,4,1,4,4,3,4,4,4,1,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4
4,5,2,4,2,2,2,5,5,5,3,5,5,5,4,4,5,3,4,4,5,4,5,5,5,4,2,5,4,5,5,2,4,5,5,4,5,5,2,4,5,5,5,5,4,5,5,3,5,5
5,6,5,5,5,5,5,6,6,6,3,2,6,6,5,3,4,4,5,5,4,5,6,6,6,5,5,6,5,6,6,5,5,6,6,5,6,6,5,5,6,6,6,6,5,6,4,4,6,3
6,7,4,3,6,6,6,7,5,7,3,6,7,3,6,5,2,3,6,6,6,6,7,7,7,2,3,7,1,7,7,6,2,7,7,6,3,7,6,6,7,7,7,7,6,7,6,5,7,6
7,5,6,4,7,6,2,8,7,8,4,1,7,7,7,6,6,5,7,4,3,6,8,2,8,6,6,8,1,7,8,7,2,2,2,7,2,8,6,2,8,2,2,8,1,7,1,1,5,1
8,8,4,4,8,7,7,9,8,9,2,1,6,8,8,7,7,6,8,7,7,7,9,8,9,1,7,9,2,3,9,8,6,8,8,1,7,4,1,6,9,8,8,9,7,8,6,2,8,4
9,1,7,6,9,7,2,10,5,10,5,1,6,6,9,8,8,7,9,1,5,8,5,9,10,7,8,10,5,8,10,9,7,9,9,1,5,9,7,7,10,5,5,10,8,5,5,6,1,2
