"","method","mu","nc","value"
"137","single_louvain",10,32,0.971198939287653
"138","single_louvain",10,35,0.981235161729923
"139","single_louvain",10,33,0.97576199713216
"140","single_louvain",10,33,0.974090655217118
"141","single_louvain",10,35,0.987814312926781
"142","single_louvain",10,32,0.96651454250436
"143","single_louvain",10,34,0.978483922414999
"144","single_louvain",10,35,0.981148146014159
"145","single_louvain",10,34,0.983391108681985
"146","single_louvain",10,36,0.988339336644234
"147","single_louvain",10,34,0.977208393277838
"148","single_louvain",10,32,0.966623978359453
"149","single_louvain",10,34,0.983670128830423
"150","single_louvain",10,33,0.975756449806853
"151","single_louvain",10,35,0.982716908137417
"152","single_louvain",10,32,0.967840621979332
"153","single_louvain",10,35,0.984567216588168
"154","single_louvain",10,34,0.982605342492949
"155","single_louvain",10,32,0.96699792774834
"156","single_louvain",10,34,0.980849155332551
"157","single_louvain",10,34,0.983230121322677
"158","single_louvain",10,35,0.983740909945874
"159","single_louvain",10,31,0.961857315708997
"160","single_louvain",10,35,0.985257990581998
"161","single_louvain",10,32,0.965756472335014
"162","single_louvain",10,32,0.972651056895568
"163","single_louvain",10,33,0.973581397490083
"164","single_louvain",10,32,0.970522269715586
"165","single_louvain",10,33,0.971082739509905
"166","single_louvain",10,34,0.974130935476174
"167","single_louvain",10,33,0.975852603927396
"168","single_louvain",10,35,0.983894200073157
"169","single_louvain",10,34,0.980745583173223
"170","single_louvain",10,35,0.98639871565548
"171","single_louvain",10,34,0.980917238676123
"172","single_louvain",10,35,0.986582284907321
"173","single_louvain",10,33,0.976096704834529
"174","single_louvain",10,33,0.976031062004629
"175","single_louvain",10,33,0.977202230910329
"176","single_louvain",10,34,0.981323669217972
"177","single_louvain",10,33,0.973392814923425
"178","single_louvain",10,34,0.972735604484415
"179","single_louvain",10,31,0.96857576002101
"180","single_louvain",10,34,0.980217064599506
"181","single_louvain",10,35,0.984166734415678
"182","single_louvain",10,34,0.982425149592214
"183","single_louvain",10,35,0.986265725291586
"184","single_louvain",10,36,0.984562001250079
"185","single_louvain",10,33,0.973336757522434
"186","single_louvain",10,35,0.983488668001999
"187","single_louvain",10,35,0.985820063990682
"188","single_louvain",10,34,0.980523847592264
"189","single_louvain",10,35,0.982779603216026
"190","single_louvain",10,33,0.976972544628963
"191","single_louvain",10,35,0.983959120668045
"192","single_louvain",10,36,0.990748000770907
"193","single_louvain",10,35,0.980990632558596
"194","single_louvain",10,34,0.982122282213347
"195","single_louvain",10,35,0.98188207108652
"196","single_louvain",10,33,0.972870351712348
"197","single_louvain",10,36,0.992214841235493
"198","single_louvain",10,34,0.977862560236987
"199","single_louvain",10,35,0.985038406993894
"200","single_louvain",10,34,0.980219094901384
"201","single_louvain",10,35,0.977381886279249
"202","cons_louvain",10,35,0.98698843176615
"203","single_louvain",15,31,0.959120027276638
"204","single_louvain",15,27,0.934335599333404
"205","single_louvain",15,32,0.965873307706542
"206","single_louvain",15,32,0.962111917750725
"207","single_louvain",15,30,0.956124388563031
"208","single_louvain",15,29,0.943779462055184
"209","single_louvain",15,31,0.960601254058353
"210","single_louvain",15,31,0.955680454218432
"211","single_louvain",15,31,0.956572821430766
"212","single_louvain",15,28,0.946187748055727
"213","single_louvain",15,31,0.953234663336941
"214","single_louvain",15,32,0.959042879475478
"215","single_louvain",15,31,0.956647160966733
"216","single_louvain",15,32,0.9620370117425
"217","single_louvain",15,28,0.938581136490291
"218","single_louvain",15,29,0.94310118260251
"219","single_louvain",15,29,0.950907427982425
"220","single_louvain",15,29,0.941273627096388
"221","single_louvain",15,32,0.964554146061012
"222","single_louvain",15,31,0.95874753244801
"223","single_louvain",15,28,0.938886514564945
"224","single_louvain",15,28,0.935379908362651
"225","single_louvain",15,31,0.953481364020107
"226","single_louvain",15,30,0.950072638266944
"227","single_louvain",15,28,0.930487064482747
"228","single_louvain",15,31,0.951281072240647
"229","single_louvain",15,31,0.950582896559969
"230","single_louvain",15,29,0.944184337704494
"231","single_louvain",15,32,0.964372750497195
"232","single_louvain",15,30,0.95406683587701
"233","single_louvain",15,29,0.947895838185556
"234","single_louvain",15,33,0.966100668991566
"235","single_louvain",15,33,0.956990789416682
"236","single_louvain",15,31,0.956080976905072
"237","single_louvain",15,30,0.956292349050429
"238","single_louvain",15,32,0.963242634217077
"239","single_louvain",15,31,0.956039942755866
"240","single_louvain",15,28,0.937825599215592
"241","single_louvain",15,31,0.961452121125608
"242","single_louvain",15,29,0.939549377132803
"243","single_louvain",15,32,0.953108887730175
"244","single_louvain",15,28,0.944650911912311
"245","single_louvain",15,29,0.943473540736404
"246","single_louvain",15,30,0.944862767693463
"247","single_louvain",15,26,0.936899329242853
"248","single_louvain",15,29,0.940910091689919
"249","single_louvain",15,28,0.945953384856444
"250","single_louvain",15,31,0.960656002501965
"251","single_louvain",15,26,0.927150788172771
"252","single_louvain",15,31,0.95330965369602
"253","single_louvain",15,32,0.963915996215337
"254","single_louvain",15,32,0.967577534277512
"255","single_louvain",15,31,0.963761556737144
"256","single_louvain",15,31,0.955617714435666
"257","single_louvain",15,32,0.967180757994533
"258","single_louvain",15,31,0.952648124919845
"259","single_louvain",15,30,0.949494798378899
"260","single_louvain",15,33,0.961830489532855
"261","single_louvain",15,29,0.943401292723511
"262","single_louvain",15,32,0.96468963628725
"263","single_louvain",15,29,0.941576906513939
"264","single_louvain",15,29,0.94790961102658
"265","single_louvain",15,30,0.947076769367883
"266","single_louvain",15,30,0.957035323901076
"267","single_louvain",15,32,0.960085964443557
"268","single_louvain",15,30,0.951476887194711
"269","single_louvain",15,32,0.962375915604365
"270","single_louvain",15,28,0.932598089400009
"271","single_louvain",15,28,0.940890195777357
"272","single_louvain",15,29,0.944805992754102
"273","single_louvain",15,31,0.958228367111969
"274","single_louvain",15,33,0.968649624373381
"275","single_louvain",15,30,0.950881931977826
"276","single_louvain",15,30,0.951890694351478
"277","single_louvain",15,31,0.953251654248092
"278","single_louvain",15,31,0.962413833855946
"279","single_louvain",15,25,0.918259622010641
"280","single_louvain",15,30,0.949976370329233
"281","single_louvain",15,31,0.959778761842113
"282","single_louvain",15,28,0.941163909064648
"283","single_louvain",15,30,0.954593320741657
"284","single_louvain",15,30,0.956067131163786
"285","single_louvain",15,30,0.951110353102344
"286","single_louvain",15,31,0.963895905900715
"287","single_louvain",15,32,0.964769466081248
"288","single_louvain",15,31,0.959669328950006
"289","single_louvain",15,31,0.952931434230107
"290","single_louvain",15,31,0.95528224867339
"291","single_louvain",15,27,0.926942983457615
"292","single_louvain",15,31,0.956711870679486
"293","single_louvain",15,31,0.955254900804772
"294","single_louvain",15,32,0.967145161930123
"295","single_louvain",15,29,0.944214981102545
"296","single_louvain",15,30,0.950932102001927
"297","single_louvain",15,32,0.966593853529356
"298","single_louvain",15,29,0.942190273400595
"299","single_louvain",15,29,0.947016052228161
"300","single_louvain",15,30,0.952608217873121
"301","single_louvain",15,27,0.932647994785924
"302","single_louvain",15,30,0.953726208765001
"303","cons_louvain",15,33,0.973839410120776
"304","single_louvain",20,29,0.912248622551008
"305","single_louvain",20,28,0.91646246220713
"306","single_louvain",20,29,0.909713963265195
"307","single_louvain",20,29,0.922765420318912
"308","single_louvain",20,30,0.922055239582693
"309","single_louvain",20,27,0.902310079837221
"310","single_louvain",20,31,0.929367999377786
"311","single_louvain",20,27,0.911423399011629
"312","single_louvain",20,30,0.922750534598377
"313","single_louvain",20,30,0.919396069834668
"314","single_louvain",20,29,0.912320261678214
"315","single_louvain",20,30,0.919482875694228
"316","single_louvain",20,29,0.902108524380545
"317","single_louvain",20,27,0.891970521976901
"318","single_louvain",20,27,0.899269764232667
"319","single_louvain",20,28,0.906280492747845
"320","single_louvain",20,30,0.925498998202023
"321","single_louvain",20,30,0.922931391003312
"322","single_louvain",20,27,0.913956808648603
"323","single_louvain",20,29,0.908686512526547
"324","single_louvain",20,28,0.90530527533321
"325","single_louvain",20,29,0.925025148367407
"326","single_louvain",20,26,0.885735487270014
"327","single_louvain",20,30,0.923034671389864
"328","single_louvain",20,28,0.91053700731576
"329","single_louvain",20,28,0.910425053695146
"330","single_louvain",20,28,0.905394309358865
"331","single_louvain",20,28,0.904781526478944
"332","single_louvain",20,28,0.910492679919432
"333","single_louvain",20,30,0.924233816115951
"334","single_louvain",20,29,0.9239643491498
"335","single_louvain",20,30,0.919411513190869
"336","single_louvain",20,28,0.905599893539945
"337","single_louvain",20,27,0.903837546798988
"338","single_louvain",20,26,0.881124200950272
"339","single_louvain",20,28,0.903523965504587
"340","single_louvain",20,27,0.908129701914654
"341","single_louvain",20,27,0.903953892515566
"342","single_louvain",20,29,0.918328396352556
